name,semester,grade,is_grade_truth,seingatku,actual_scope,journal_ref,text_book_ref,scholars
PENGANTAR INFORMATIKA / INTRO. TO INFORMATIC,1,,,,,,,
ALGORITMA & PEMROGRAMAN I/ PROG. & ALGORITHM I,1,,,,,,,
MATEMATIKA LOGIKA / FORMAL MATH & LOGIC,1,,,,,,,
BAHASA INGGRIS I / ENGLISH I,1,,,,,,,
MATEMATIKA DASAR / BASIC MATH FOR ENG.,1,,,,,,,
ORGANISASI & ARSITEKTUR KOMPUTER / COMP. ARCHITECTURE & ORG.,1,,,,,,,
APLIKASI PERKANTORAN / APP. SOFTWARES.,1,,,,,,,
PEMROGRAMAN WEB I/ WEB PROGRAMMING I,2,,,,,,,
ALGORITMA & PEMROGRAMAN II / PROGRAMMING & ALGORITHM I,2,,,,,,,
MATEMATIKA DISKRET / DISCRETE MATHEMATICS,2,,,,,,,
AGAMA / RELIGION,2,,,,,,,
BAHASA INDONESIA / INDONESIAN LANGUAGE,2,,,,,,,
SISTEM BASISDATA I / DATABASE SYSTEM I,2,,,,,,,
SISTEM OPERASI / OPERATING SYSTEM,2,,,,,,,
JARINGAN KOMPUTER / COMPUTER NETWORK,3,,,,,,,
IIMU BUDAYA SUNDA / SUNDANESS CULTURE.,3,,,,,,,
TEORI KOMPUTASI DAN BAHASA FORMAL / COMPUTATION THEORY,3,B,0,graph,hirarki Comsky (tipe 0-4) language dan formal vs natural dan cfg,,,
PEMROGRAMAN WEB II / WEB PROGRAMMING II,3,,,,,,,
REKAYASA PERANGKAT LUNAK / BASIC SOFTWARE ENGINEERING,3,,,,,,,
SISTEM BASISDATA II / DATABASE SYSTEM II,3,,,,,,,
MANAJEMEN / MANAGEMENT,3,,,,,,,
PEMODELAN PROSES BISNIS / BUSINESS PROCESS MNG.,4,,,,,,,
PEND. PANCASIIA & KEWARGANEGARAAN / CIVII EDUCATION,4,,,,,,,
SISTEM MULTIMEDIA / MULTIMEDIA SYSTEM,5,,,,,,,
PROBABILITAS DAN STATISTIKA / STATISTIC,4,,,,,,,
KONSTRUKSI P/L BERORIENTASI OBJEK / OBJECT ORIENTED SW CONST.,4,,,,,,,
MANAJEMEN PROYEK TEKNOLOGI INFORMASI / IT PROJECT MANAGEMENT,4,,,,,,,
DASAR KOMUNIKASI VISUAL / VISUAL COMMUNICATION TECH.,4,,,,,,,
SISTEM MANAJEMEN BASIS DATA / DATABASE MANAGEMENT SYSTEM,5,,,,,,,
PEMROGRAMAN VISUAL / VISUAL PROGRAMMING,5,,,,GUI vs console dan gabungin dengan HCI,,,
SISTEM INFORMASI / INFORMATION SYSTEM CONCEPT,5,,,,,,,
TATA KELOLA TEKNOLOGI INFORMASI / IT GOVERNANCE,6,,,,,,,
PERANCANGAN SISTEM BERORIENTASI OBJEK / OO SYSTEM DEVELOPMENT,5,,,,,,,
INTERAKSI MANUSIA & KOMPUTER / MAN-COMP. INTERACTION,5,,,,,,,
REKAYASA WEB / WEB ENGINEERING,5,,,,,,,
E-BUSINESS / E-BUSINESS,6,,,,,,,
PEMROGRAMAN BASISDATA / DATABASE PROGRAMMING.,6,,,,,,,
PENELITIAN OPERASIONAL / OPERATIONS RESEARCH,6,,,lupa,,,,
MASYARAKAT TEKNOLOGI INFORMASI / IT SOCIETY,6,,,,,,,
INTELEJENSIA BUATAN / ARTIFICIAL INTELIGENT,6,,,,,,,
PEMBANGUNAN SISTEM BERBASIS KOMPONEN / COMPONENT BASED SYS. DEV.,6,,,belajar jsf primefaces java EE,ada di chapter nya pressman,,,
RAGAM KAKAS PEMBANGUNAN PERANGKAT LUNAK / SW DEVELOPEMENT TOOLS,6,,,,,,,
BAHASA INGGRIS II / ENGLISH II,6,,,ingatnya dulu kesiangan saat mau tes wkwk,,,,
KEWIRAUSAHAAN / ENTREPREUNEURSHIP,7,,,,,,,
PROYEK REKAYASA TEKNOLOGI INFORMASI / IT ENGINEERING PROJECT,7,,,,,,,
PROYEK PERANGKAT LUNAK / SOFTWARE PROJECT,7,,,"tugas kelompok RS advent, kode socket.io nya ga tau kemana",,,,
SISTEM INFORMASI GEOGRAFIS / GEOGRAPHICHAL U/S,7,,,,,,,
TUGAS AKHIR I/THESIS I,7,,,,,,,
KERJA PRAKTEK / JOB TRAINNING,7,,,,,,,
ISLAM DASAR ILMU / ISLAM FOR TECHNOLOGY,7,,,,,,,
PERAWATAN & PENGUJIAN PERANGKAT LUNAK / SW TESTING & MAINTANANCE,7,,,,,,,
OPTIMASI SISTEM BASISDATA / DATABASE SYSTEM OPTIMATION,8,,,,,,,
TUGAS AKHIR II/ THESIS II,8,,,,,,,
